Body Mass (g),Delta 15 N (o/oo),Delta 13 C (o/oo),Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Sex,Clutch Completion,Species
3050.0,8.47781,-26.07821,35.9,16.6,190.0,0,0,Adelie Penguin (Pygoscelis adeliae)
3300.0,9.66523,-25.0602,39.5,17.8,188.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3900.0,8.80967,-26.78958,39.6,20.7,191.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4200.0,8.65015,-26.79053,45.3,13.8,208.0,0,1,Gentoo penguin (Pygoscelis papua)
5700.0,8.47067,-26.69166,49.8,16.8,230.0,1,1,Gentoo penguin (Pygoscelis papua)
5200.0,8.58487,-26.5929,46.5,14.8,217.0,0,1,Gentoo penguin (Pygoscelis papua)
4000.0,9.05736,-25.81513,42.1,19.1,195.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4200.0,8.90002,-26.46254,35.1,19.4,193.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5000.0,8.63604,-26.7489,45.5,15.0,220.0,1,1,Gentoo penguin (Pygoscelis papua)
5500.0,8.65914,-25.79203,49.1,15.0,228.0,1,1,Gentoo penguin (Pygoscelis papua)
3675.0,9.32169,-24.41562,49.8,17.3,198.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
4700.0,8.64931,-26.68867,43.5,14.2,220.0,0,1,Gentoo penguin (Pygoscelis papua)
4300.0,8.37615,-26.72791,45.3,13.7,210.0,0,1,Gentoo penguin (Pygoscelis papua)
5350.0,7.96491,-25.39587,48.7,15.1,222.0,1,1,Gentoo penguin (Pygoscelis papua)
5600.0,8.27428,-26.30019,50.8,17.3,228.0,1,1,Gentoo penguin (Pygoscelis papua)
4250.0,9.51929,-25.69199,37.8,20.0,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4450.0,8.48367,-26.86485,43.2,14.5,208.0,0,1,Gentoo penguin (Pygoscelis papua)
3200.0,8.85939762589928,-25.81355748201439,41.1,17.6,182.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4925.0,8.03624,-26.06594,49.4,15.8,216.0,1,1,Gentoo penguin (Pygoscelis papua)
3725.0,8.84451,-26.28055,35.0,17.9,192.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5500.0,8.41017,-26.33867,53.4,15.8,219.0,1,1,Gentoo penguin (Pygoscelis papua)
3450.0,9.32105,-24.64162,46.4,18.6,190.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
5800.0,8.49854,-26.74809,49.5,16.2,229.0,1,1,Gentoo penguin (Pygoscelis papua)
4650.0,7.77672,-25.4168,45.5,13.7,214.0,0,1,Gentoo penguin (Pygoscelis papua)
3725.0,9.00642,-24.61867,52.7,19.8,197.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3950.0,9.53262,-24.66867,49.0,19.5,210.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3700.0,8.47257,-26.02002,40.9,16.8,191.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3950.0,8.43423,-25.22664,38.2,18.1,185.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3525.0,9.46985,-24.65786,45.6,19.4,194.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
4000.0,9.10702,-26.01363,44.1,18.0,210.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5100.0,7.83733,-25.42826,46.1,15.1,215.0,1,1,Gentoo penguin (Pygoscelis papua)
3650.0,9.29078,-24.7557,51.3,19.2,193.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3500.0,9.36493,-24.66259,45.5,17.0,196.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3800.0,9.74492,-24.404,50.2,18.8,202.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4475.0,8.56708,-26.49288,37.5,18.5,199.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3800.0,9.28153,-24.97134,50.6,19.4,193.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
5700.0,8.2554,-25.40075,50.0,15.2,218.0,1,1,Gentoo penguin (Pygoscelis papua)
4675.0,9.4606,-24.89958,39.2,19.6,195.0,1,0,Adelie Penguin (Pygoscelis adeliae)
3700.0,8.35396,-26.27853,41.4,18.6,191.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3150.0,9.04296,-26.19444,36.2,17.2,187.0,0,0,Adelie Penguin (Pygoscelis adeliae)
4850.0,8.20106,-26.16524,44.5,14.7,214.0,0,1,Gentoo penguin (Pygoscelis papua)
3250.0,8.85664,-24.55644,46.1,18.2,178.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
4950.0,8.29671,-26.08547,47.5,15.0,218.0,0,1,Gentoo penguin (Pygoscelis papua)
3150.0,8.96472,-26.40943,35.7,16.9,185.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5700.0,7.8962,-25.37746,50.2,14.3,218.0,1,1,Gentoo penguin (Pygoscelis papua)
3900.0,8.94365,-26.06943,41.1,17.5,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5600.0,8.3118,-26.35425,55.9,17.0,228.0,1,1,Gentoo penguin (Pygoscelis papua)
4575.0,8.4207,-26.38092,43.3,14.0,208.0,0,1,Gentoo penguin (Pygoscelis papua)
3050.0,9.19031,-25.73722,39.0,17.1,191.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3400.0,8.01485,-26.69543,34.0,17.1,185.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4625.0,8.35802,-26.2766,49.1,14.5,212.0,0,1,Gentoo penguin (Pygoscelis papua)
2900.0,9.18021,-25.77264,38.6,17.0,188.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4600.0,7.6887,-25.50811,48.2,14.3,210.0,0,1,Gentoo penguin (Pygoscelis papua)
3950.0,8.14567,-26.59467,42.7,13.7,208.0,0,0,Gentoo penguin (Pygoscelis papua)
3900.0,8.85939762589928,-25.81355748201439,40.8,18.4,195.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4050.0,9.0233,-24.38933,52.0,18.1,201.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4650.0,8.21634,-26.11046,43.5,15.2,213.0,0,1,Gentoo penguin (Pygoscelis papua)
3975.0,8.95998,-26.32601,40.2,20.1,200.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5350.0,8.14776,-26.84506,48.7,15.7,208.0,1,1,Gentoo penguin (Pygoscelis papua)
3800.0,9.22286,-25.03474,35.9,19.2,189.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3425.0,8.717,-25.77951,38.1,17.6,187.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5550.0,8.27595,-26.11657,52.1,17.0,230.0,1,1,Gentoo penguin (Pygoscelis papua)
5400.0,8.3639,-26.15531,49.9,16.1,213.0,1,1,Gentoo penguin (Pygoscelis papua)
3800.0,9.63074,-24.34684,49.5,19.0,200.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
4300.0,8.51362,-26.55602,40.1,18.9,188.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3500.0,9.11066,-26.42563,37.7,19.8,198.0,1,0,Adelie Penguin (Pygoscelis adeliae)
3550.0,8.33524,-26.55351,39.6,17.2,196.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3450.0,9.18528,-25.06691,38.7,19.0,195.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3900.0,9.29808,-25.23453,39.7,18.4,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,8.51951,-27.01854,45.1,14.4,210.0,0,1,Gentoo penguin (Pygoscelis papua)
3600.0,9.35138,-24.6879,42.4,17.3,181.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3800.0,8.95063,-24.59897,46.6,17.8,193.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
4300.0,8.48204,-26.57941,40.8,18.9,208.0,1,1,Adelie Penguin (Pygoscelis adeliae)
6050.0,7.76843,-25.6821,59.6,17.0,230.0,1,1,Gentoo penguin (Pygoscelis papua)
3250.0,9.62357,-24.78984,45.2,16.6,191.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
5300.0,8.60092,-26.84374,46.2,14.9,221.0,1,1,Gentoo penguin (Pygoscelis papua)
4150.0,9.15308,-25.03469,39.2,21.1,196.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5200.0,8.27102,-26.11244,50.8,15.7,226.0,1,1,Gentoo penguin (Pygoscelis papua)
3200.0,9.08458,-24.54903,40.9,16.6,187.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3550.0,8.57199,-26.07188,39.0,17.5,186.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5550.0,8.10417,-25.50562,49.0,16.1,216.0,1,0,Gentoo penguin (Pygoscelis papua)
5000.0,7.68528,-25.39181,42.9,13.1,215.0,0,1,Gentoo penguin (Pygoscelis papua)
4725.0,8.19101,-26.24369,47.4,14.6,212.0,0,1,Gentoo penguin (Pygoscelis papua)
3150.0,8.38404,-25.19837,37.9,18.6,172.0,0,0,Adelie Penguin (Pygoscelis adeliae)
3500.0,8.46616,-26.12989,39.6,17.7,186.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,8.13643,-25.32176,43.3,13.4,209.0,0,1,Gentoo penguin (Pygoscelis papua)
3900.0,8.79665,-25.14591,40.9,18.9,184.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3050.0,8.81668,-25.95399,35.2,15.9,186.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4700.0,8.60447,-26.61601,45.8,14.2,219.0,0,1,Gentoo penguin (Pygoscelis papua)
4075.0,8.91434,-26.42018,42.7,18.3,196.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5100.0,8.45167,-26.89644,44.9,13.3,213.0,0,1,Gentoo penguin (Pygoscelis papua)
3250.0,8.36821,-25.33302,40.3,18.0,195.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3450.0,9.51784,-25.07683,36.0,17.9,190.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3450.0,8.19539,-26.17213,35.0,17.9,190.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5650.0,7.92358,-25.48383,47.8,15.0,215.0,1,1,Gentoo penguin (Pygoscelis papua)
3500.0,8.59147,-26.08165,36.9,18.6,189.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5850.0,7.8208,-25.48025,48.4,14.6,213.0,1,1,Gentoo penguin (Pygoscelis papua)
4600.0,8.65466,-26.32909,45.6,20.3,191.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5200.0,8.22673,-25.4276,46.7,15.3,219.0,1,1,Gentoo penguin (Pygoscelis papua)
3725.0,9.05674,-25.79529,40.7,17.0,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4725.0,9.01079,-26.38085,41.0,20.0,203.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,7.90436,-25.3947,46.5,14.5,213.0,0,1,Gentoo penguin (Pygoscelis papua)
4750.0,8.11238,-26.20372,44.9,13.8,212.0,0,1,Gentoo penguin (Pygoscelis papua)
4850.0,8.38289,-26.86352,46.6,14.2,210.0,0,1,Gentoo penguin (Pygoscelis papua)
4850.0,8.41151,-26.13832,46.8,14.3,215.0,0,1,Gentoo penguin (Pygoscelis papua)
4400.0,9.27158,-24.64335,49.2,18.2,195.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3250.0,9.6895,-24.43062,51.5,18.7,187.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3950.0,9.07826,-26.12417,38.3,19.2,189.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4900.0,8.27141,-26.7765,43.6,13.9,217.0,0,1,Gentoo penguin (Pygoscelis papua)
3250.0,9.69756,-25.11223,39.5,16.7,178.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5550.0,8.30515,-25.19017,50.0,15.3,220.0,1,1,Gentoo penguin (Pygoscelis papua)
4750.0,8.15566,-26.22848,45.5,14.5,212.0,0,1,Gentoo penguin (Pygoscelis papua)
3325.0,9.32277,-26.09989,41.1,18.6,189.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3550.0,7.82381,-26.51382,36.2,16.1,187.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3325.0,8.47827,-25.23319,34.4,18.4,184.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3400.0,8.9399,-23.89017,50.5,18.4,200.0,0,0,Chinstrap penguin (Pygoscelis antarctica)
4050.0,9.88809,-24.59513,49.3,19.9,203.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3400.0,9.37608,-24.40753,43.5,18.1,202.0,0,0,Chinstrap penguin (Pygoscelis antarctica)
3500.0,9.03935,-24.30229,46.5,17.9,192.0,0,0,Chinstrap penguin (Pygoscelis antarctica)
3800.0,8.57087,-26.22227,36.3,19.5,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4050.0,8.48095,-26.3146,42.0,19.5,200.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,8.74802,-26.37809,41.3,21.1,195.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3700.0,8.85939762589928,-25.81355748201439,36.6,17.8,185.0,0,1,Adelie Penguin (Pygoscelis adeliae)
2925.0,9.02642,-25.86482,37.9,18.6,193.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4100.0,9.98044,-24.68741,50.8,19.0,210.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4300.0,8.77018,-25.83352,41.1,18.1,205.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3475.0,8.68744,-25.8306,36.6,18.4,184.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4300.0,9.34089,-24.45189,49.0,19.6,212.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3950.0,8.88942,-24.49433,45.2,17.8,198.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3950.0,8.90027,-25.11609,40.5,18.9,180.0,1,0,Adelie Penguin (Pygoscelis adeliae)
5400.0,8.03659,-26.86127,48.4,16.3,220.0,1,1,Gentoo penguin (Pygoscelis papua)
4100.0,8.97025,-26.03679,43.2,18.5,192.0,1,1,Adelie Penguin (Pygoscelis adeliae)
5150.0,7.89744,-26.63405,49.1,14.8,220.0,0,1,Gentoo penguin (Pygoscelis papua)
3700.0,8.70642,-26.15003,35.5,17.5,190.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5400.0,8.65803,-26.57585,50.5,15.9,225.0,1,0,Gentoo penguin (Pygoscelis papua)
3775.0,9.49645,-26.36678,37.3,20.5,199.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3750.0,8.63701,-24.84059,51.3,18.2,197.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
5350.0,8.20042,-26.39677,50.0,15.9,224.0,1,1,Gentoo penguin (Pygoscelis papua)
5950.0,8.19749,-26.65931,45.2,16.4,223.0,1,1,Gentoo penguin (Pygoscelis papua)
4700.0,7.63452,-25.46327,42.8,14.2,209.0,0,1,Gentoo penguin (Pygoscelis papua)
3775.0,8.68747,-24.38751,51.7,20.3,194.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3775.0,9.39305,-24.25255,50.2,18.7,198.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3300.0,10.02019,-24.54704,50.3,20.0,197.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
4750.0,8.26548,-26.7699,49.6,15.0,216.0,1,1,Gentoo penguin (Pygoscelis papua)
3350.0,9.56534,-24.60882,42.5,17.3,187.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3700.0,8.93465,-26.07081,36.0,17.1,187.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5200.0,8.24246,-26.11969,45.2,14.8,212.0,0,1,Gentoo penguin (Pygoscelis papua)
3900.0,9.72764,-25.0102,37.2,18.1,178.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3600.0,9.415,-24.805,45.7,17.3,193.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
4800.0,8.24515,-25.46782,45.4,14.6,211.0,0,1,Gentoo penguin (Pygoscelis papua)
5650.0,8.49662,-26.84166,54.3,15.7,231.0,1,1,Gentoo penguin (Pygoscelis papua)
3500.0,8.98705,-25.57647,36.8,18.5,193.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4850.0,8.10231,-26.18763,48.5,15.0,219.0,0,1,Gentoo penguin (Pygoscelis papua)
3000.0,9.36392,-25.01745,37.0,16.9,185.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4250.0,8.2993,-26.38986,42.8,18.5,195.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3950.0,9.18985,-25.12255,38.8,20.0,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3650.0,9.22033,-26.03442,39.0,18.7,185.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4150.0,9.36799,-24.47142,52.0,19.0,197.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
3450.0,8.94332,-25.79189,36.0,17.8,195.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4200.0,7.79958,-25.62618,45.8,14.6,210.0,0,1,Gentoo penguin (Pygoscelis papua)
3775.0,9.4618,-24.70615,49.6,18.2,193.0,1,0,Chinstrap penguin (Pygoscelis antarctica)
5300.0,8.39867,-26.79358,48.5,14.1,220.0,1,1,Gentoo penguin (Pygoscelis papua)
4800.0,9.43146,-24.6844,52.0,20.7,210.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
5800.0,8.5964,-26.71199,48.6,16.0,230.0,1,1,Gentoo penguin (Pygoscelis papua)
4400.0,8.6287,-26.60484,45.7,13.9,214.0,0,1,Gentoo penguin (Pygoscelis papua)
3450.0,8.76651,-25.32426,36.7,19.3,193.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5250.0,8.247599579831933,-26.183687310924366,47.3,15.3,222.0,1,1,Gentoo penguin (Pygoscelis papua)
5650.0,8.83352,-25.69195,49.5,16.1,224.0,1,1,Gentoo penguin (Pygoscelis papua)
3350.0,8.96436,-23.90309,35.7,17.0,189.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4150.0,8.18658,-26.45978,45.8,18.9,197.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3000.0,9.06829,-25.85203,37.3,16.8,192.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3650.0,9.65061,-24.48153,46.8,16.5,189.0,0,1,Chinstrap penguin (Pygoscelis antarctica)
3325.0,8.9846,-25.57956,38.5,17.9,190.0,0,0,Adelie Penguin (Pygoscelis adeliae)
3275.0,8.88098,-25.89741,38.8,17.6,191.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4050.0,9.8059,-24.7294,50.5,19.6,201.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4250.0,9.25769,-25.88798,39.7,17.9,193.0,1,0,Adelie Penguin (Pygoscelis adeliae)
5400.0,8.2345,-25.54456,47.6,14.5,215.0,1,1,Gentoo penguin (Pygoscelis papua)
3400.0,9.42666,-24.26375,48.5,17.5,191.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
5250.0,8.13746,-26.79093,44.4,17.3,219.0,1,1,Gentoo penguin (Pygoscelis papua)
5750.0,8.30166,-26.04117,50.4,15.7,222.0,1,1,Gentoo penguin (Pygoscelis papua)
3350.0,8.56192,-25.95541,35.5,16.2,195.0,0,1,Adelie Penguin (Pygoscelis adeliae)
3825.0,8.43951,-26.57563,38.1,16.5,198.0,0,1,Adelie Penguin (Pygoscelis adeliae)
5100.0,8.24651,-26.66958,48.2,15.6,221.0,1,1,Gentoo penguin (Pygoscelis papua)
3600.0,8.66271,-25.0639,37.7,18.7,180.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3800.0,9.63954,-25.29856,38.8,17.2,180.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4450.0,9.45827,-24.35575,50.8,18.5,201.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
4600.0,9.49106,-24.10255,39.6,18.8,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3200.0,8.08138,-25.49448,40.5,17.9,187.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4750.0,8.24694,-26.65359,45.2,13.8,215.0,0,1,Gentoo penguin (Pygoscelis papua)
6000.0,8.40327,-26.76821,51.1,16.3,220.0,1,1,Gentoo penguin (Pygoscelis papua)
5000.0,7.6322,-25.46569,45.1,14.5,215.0,0,1,Gentoo penguin (Pygoscelis papua)
4050.0,9.93727,-24.59066,50.7,19.7,203.0,1,1,Chinstrap penguin (Pygoscelis antarctica)
3900.0,9.59245,-25.70711,38.2,20.0,190.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,9.2372,-24.52698,44.1,19.7,196.0,1,1,Adelie Penguin (Pygoscelis adeliae)
4400.0,8.55583,-25.22588,34.6,21.1,198.0,1,1,Adelie Penguin (Pygoscelis adeliae)
3075.0,9.2151,-26.2253,37.7,16.0,183.0,0,1,Adelie Penguin (Pygoscelis adeliae)
4375.0,8.30231,-25.96013,46.2,14.1,217.0,0,1,Gentoo penguin (Pygoscelis papua)
4450.0,8.14705,-25.46172,48.7,14.1,210.0,0,1,Gentoo penguin (Pygoscelis papua)
3600.0,7.88863,-26.63085,33.5,19.0,190.0,0,1,Adelie Penguin (Pygoscelis adeliae)
